Year,Month,Italy,Spain,US,Total Active Patients
2020,1,10,166,5416,5592
2020,2,22,332,5832,6186
2020,3,34,500,6250,6784
2020,4,46,666,6666,7378
2020,5,58,832,7082,7972
2020,6,70,1000,7500,8570
2020,7,80,1166,7916,9162
2020,8,92,1332,8332,9756
2020,9,104,1500,8750,10354
2020,10,116,1666,9166,10948
2020,11,128,1832,9582,11542
2020,12,140,2000,10000,12140
2021,1,10,166,5416,5592
2021,2,22,332,5832,6186
2021,3,34,500,6250,6784
2021,4,46,666,6666,7378
2021,5,58,832,7082,7972
2021,6,70,1000,7500,8570
2021,7,80,1166,7916,9162
2021,8,92,1332,8332,9756
2021,9,104,1500,8750,10354
2021,10,116,1666,9166,10948
2021,11,128,1832,9582,11542
2021,12,140,2000,10000,12140
2022,1,10,166,5416,5592
2022,2,22,332,5832,6186
2022,3,34,500,6250,6784
2022,4,46,666,6666,7378
2022,5,58,832,7082,7972
2022,6,70,1000,7500,8570
2022,7,80,1166,7916,9162
2022,8,92,1332,8332,9756
2022,9,104,1500,8750,10354
2022,10,116,1666,9166,10948
2022,11,128,1832,9582,11542
2022,12,140,2000,10000,12140
2023,1,10,166,5416,5592
2023,2,22,332,5832,6186
2023,3,34,500,6250,6784
2023,4,46,666,6666,7378
2023,5,58,832,7082,7972
2023,6,70,1000,7500,8570
2023,7,80,1166,7916,9162
2023,8,92,1332,8332,9756
2023,9,104,1500,8750,10354
2023,10,116,1666,9166,10948
2023,11,128,1832,9582,11542
2023,12,140,2000,10000,12140
2024,1,10,166,5416,5592
2024,2,22,332,5832,6186
2024,3,34,500,6250,6784
2024,4,46,666,6666,7378
2024,5,58,832,7082,7972
2024,6,70,1000,7500,8570
2024,7,80,1166,7916,9162
2024,8,92,1332,8332,9756
2024,9,104,1500,8750,10354
2024,10,116,1666,9166,10948
2024,11,128,1832,9582,11542
2024,12,140,2000,10000,12140
